Pay by Tue?,Block,#,Device,Qty,Factory,Product URL,How to pay,USD ea,USD line,~R line,Note
YES - ADDON,DRAGINO,14,TrackerD LoRaWAN GPS+BLE+WiFi tracker,2,Dragino,https://www.dragino.com/products/tracker/item/234-trackerd.html,https://shop.dragino.com/index.php?product_id=164&rt=product/product,shop cart,shop cart,shop cart,Asset/RIB tag — not RTK. Title verified TrackerD.
YES - ADDON,DRAGINO,15,LA66 LoRaWAN Module AS923,2,Dragino,https://www.dragino.com/products/lora/item/230-la66-lorawan-module.html,https://shop.dragino.com/index.php?product_id=159&rt=product/product,shop cart,shop cart,shop cart,Bench LoRaWAN vs our LoRa. Title verified LA66.
YES - ADDON,DRAGINO,16,BCN02 BLE iBeacon,5,Dragino,https://www.dragino.com/products/tracker/item/243-bcn02.html,https://shop.dragino.com/index.php?product_id=157&rt=product/product,~15,~75,~1200,Shop listed $15. Title verified BCN02.
SKIP IF MOKO LW003,DRAGINO,17,BH01-LB BLE to LoRaWAN Hub,0,Dragino,https://www.dragino.com/products/lora-lorawan-end-node/item/359-bh01-lb-ls-bluetooth-to-lorawan-hub.html,sales@dragino.com,RFQ,0,0,Skip if buying Moko LW003-B.
YES - ADDON,MOKO,18,LW001-BG PRO LoRaWAN GPS Tracker,1,Moko Smart,https://www.mokosmart.com/lorawan-tracker-lw001-bg-pro/,https://store.mokosmart.com/product/lw001-bg-pro-lorawan-gps-tracker/,~52,~52,~832,A/B vs TrackerD. Store listed $52. Ask AS923.
YES - ADDON,MOKO,19,LW003-B Bluetooth to LoRaWAN Gateway,1,Moko Smart,https://www.mokosmart.com/lorawan-probe-lw003-b/,https://store.mokosmart.com/product/lw003b-bluetooth-to-lorawan-gateway/,store cart,store cart,store cart,BLE scan uplink. Skip Dragino BH01 if this is bought.
YES - ADDON,MOKO,20,H2 Indoor Navigation Beacon,5,Moko Smart,https://www.mokosmart.com/navigation-beacon-h2/,https://store.mokosmart.com/product/h2-navigation-beacon/,store cart,store cart,store cart,Dinghy-park BLE stickers. Skip extra if BCN02×5 enough.
SKIP,MOKO,21,MKGW2-LW gateway,0,Moko Smart,https://www.mokosmart.com/lorawan-gateway-mkgw2-lw/,https://store.mokosmart.com/product/mkgw2-lw-indoor-lorawan-gateway/,0,0,0,Do not buy — already getting Dragino LPS8v2.
DO NOT BUY,SKIP,22,Official GoPro ADDIV-001,0,GoPro,https://gopro.com/en/us/shop/mounts-accessories/protective-housing/ADDIV-001.html,n/a,~50,0,0,Shell too expensive.
DO NOT BUY,SKIP,23,Second WT-43-BK,0,OTW,https://www.ontheway-tech.com/product/wt-43-bk-lora-module/,n/a,0,0,0,One base; antenna on line.
DO NOT BUY,SKIP,24,Ali WT-43 if factory quotes,0,Ali,n/a,n/a,~54,0,0,Use OTW factory.
DO NOT BUY,SKIP,25,Any other OTW SKU (4G / WT-4545 / WT-43-62 / WTB / WT-27),0,OTW,https://www.ontheway-tech.com/,n/a,0,0,0,Locked — only WT-43-RK-LORA + WT-43-BK-LORA from this supplier.
TOTAL,RACE CORE + LAB,,,,,—,—,—,215-286,3440-4576,OTW BK+RK x2 +Ebyte+Ali+DK. Ali lines EST until cart.
TOTAL,ADDONS DRAGINO+MOKO,,,,,—,—,—,see shops,see shops,Pay shop carts Tuesday. Band AS923.
NOTE,DEADLINE,,,,,—,—,—,—,—,Pay Tuesday 16 Sep 2026. Next China order ~6 months.
NOTE,CONTACTS,,,,,—,OTW Lucaszhang@ontheway-tech.com · Ebyte ebyteiot@cdebyte.com · Dragino sales@dragino.com · Moko sales@mokosmart.com,—,—,—,OTW: BK $55 x1 + RK $40 x2 = $135; LoRa 433 or 868 (set on PO). Dragino/Moko: AS923.
NOTE,FRAMING,,,,,—,—,—,—,—,RACE CORE = puck/committee/marks. ADDON = future venue IoT only.
