title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
2026 SA Sailing Free State AGM,https://www.sailing.org.za/events/344367,2026-06-10,2026-06-10,19:00:00,19:00:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344367,,,False
TuziTekwini Ocean Race 2026,https://www.revolutionise.com.au/ksyc/events/336792,2026-06-12,2026-06-14,18:00:00,18:00:00,KSYC ·,,,,,,,,,Event information Registrations for this event are not yet open. Entries open at Tue 07 Apr 2026 00:00 . &nbsp; &nbsp; Partners,admin@ksyc.co.za,,,revolutionise,336792,False
"2026 SA Sailing NR (Limpopo, Mpumalanga, Northwest) AGM",https://www.sailing.org.za/events/344365,2026-06-14,2026-06-14,14:00:00,14:00:00,Boskop Dam R501 Buffelsvlei,,Boskop Dam R501 Buffelsvlei,Boskop Dam R501 Buffelsvlei,Boskop Dam R501 Buffelsvlei,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344365,,,False
2026 SA Sailing Gauteng AGM,https://www.sailing.org.za/events/344366,2026-06-17,2026-06-17,18:30:00,18:30:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344366,,,False
2026 SA Sailing KZN AGM,https://www.sailing.org.za/events/297525,2026-06-29,2026-06-29,18:00:00,18:00:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,297525,,,False
2026 MSC Week,https://www.sailing.org.za/events/330403,2026-03-23,2026-03-23,09:00:00,09:00:00,Point Yacht Club,,Point Yacht Club,Point Yacht Club,,,,,,Event information Registrations for this event are not yet open. Entries open at Mon 23 Mar 2026 09:00 . &nbsp; &nbsp; &nbsp; MSC Week 2026 6-10 July Celebrating 50 years of sailing Sail Our Way! &nbsp; &nbsp; Dates: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 6-10 July 2026 Registration: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Sat 4 &amp; Sun 5 July Commodores Cup: &nbsp; &nbsp; Sun 5 July &nbsp;@ &nbsp;14:00 Opening Ceremony:&nbsp; Sun 5 July @ 18:00 MSC Week:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Mon 6 July - Fri 10 July Prize Giving: &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Fri 10 July @ 18:00 Location:&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Point Yacht Club,info@sailing.org.za,,330403,,,False
2026 Flying 15 Nationals,https://www.sailing.org.za/events/344425,2026-07-18,2026-07-19,09:00:00,16:00:00,"Yacht Mole Durban, Harbour, Durban, 4001",,Yacht Mole Durban,"Yacht Mole Durban, Harbour, Durban, 4001","Yacht Mole Durban, Harbour, Durban, 4001",,,,,Flying 15 National Championship,info@sailing.org.za,,344425,,,False
PYC Jonsson Cup,https://www.sailing.org.za/events/344426,2026-08-15,2026-08-16,09:00:00,16:00:00,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,,This event has no description.,info@sailing.org.za,,344426,,,False
SA Sailing National AGM,https://www.sailing.org.za/events/343790,2026-08-27,2026-08-27,18:00,18:00,Teams,,,,,,,,,,,,343790,,,False
2026 Gauteng dinghy provincials championships,https://www.stilbaaiyachtclub.co.za/events/342377,2026-09-05,2026-09-06,09:00:00,16:00:00,Stilbaai Yacht Club,,Stilbaai Yacht Club,Stilbaai Yacht Club,Stilbaai Yacht Club,,,,,This event has no description.,info@stilbaaiyachtclub.co.za,,,www_stilbaaiyachtclub_co_za,342377,False
2026 Bart&#039;s Bash,https://www.sailing.org.za/events/344435,2026-09-06,2026-09-06,10:00,10:00,Point Yacht Club,,,,,,,,,,,,344435,,,False
505 Nationals,https://www.sailing.org.za/events/344427,2026-09-24,2026-09-27,09:00,16:00,Aeolians Sailing Club,,,,,,,,,,,,344427,,,False
2026 DF 95 Global Championship,https://www.sailing.org.za/events/337481,2026-10-17,2026-10-23,09:00,09:00,Theewater Sports Club,,,,,,,,,,,,337481,,,False
2026 USSA Sailing Championships,https://www.sailing.org.za/events/344430,2026-12-09,2026-12-15,09:00,09:00,Henley Midmar Yacht Club,,,,,,,,,,,,344430,,,False
2026 SA Sailing Youth National Championship,https://www.sailing.org.za/events/324956,2026-12-16,2026-12-21,08:00,21:00,Lake Deneys Yacht Club,,,,,,,,,,,,324956,,,False
29er Nationals,https://www.sailing.org.za/events/297902,2027-04-25,2027-04-27,09:00,09:00,Details,,,,,,,,,,,,297902,,,False
TuziTekwini Ocean Race 2027,https://www.revolutionise.com.au/ksyc/events/337130,2027-06-11,2027-06-13,18:00,18:00,KSYC ·,,,,,,,,,,,,,revolutionise,337130,False
