title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Vasco Da Gama Ocean Race 2026,https://www.sailing.org.za/events/287148,2026-05-23,2026-05-24,09:55:00,15:30:00,"Yacht Mole Durban, Harbour, Durban, 4001",,Yacht Mole Durban,"Yacht Mole Durban, Harbour, Durban, 4001","Yacht Mole Durban, Harbour, Durban, 4001",,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <a class=""c",info@sailing.org.za,,287148,,,False
SA Sailing EC AGM,https://www.sailing.org.za/events/344358,2026-05-23,2026-05-23,13:00:00,13:00:00,"Towpath Street, Redhouse, Port Elizabeth, Redhouse, Port Elizabeth, 6201",,Towpath Street,"Towpath Street, Redhouse, Port Elizabeth, Redhouse, Port Elizabeth, 6201","Towpath Street, Redhouse, Port Elizabeth, Redhouse, Port Elizabeth, 6201",,,,,"Event information SA Sailing EC AGM Redhouse Yacht Ckub 23 May 2026 13:00 &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za",info@sailing.org.za,,344358,,,False
SA Sailing WC AGM,https://www.sailing.org.za/events/343442,2026-06-01,2026-06-01,18:00:00,18:00:00,"Duncan Road, Table Bay Harbour, Foreshore, Cape Town, 8000",,Duncan Road,"Duncan Road, Table Bay Harbour, Foreshore, Cape Town, 8000","Duncan Road, Table Bay Harbour, Foreshore, Cape Town, 8000",,,,,This event has no description.,info@sailing.org.za,,343442,,,False
2026 SA Sailing Free State AGM,https://www.sailing.org.za/events/344367,2026-06-10,2026-06-10,19:00:00,19:00:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344367,,,False
TuziTekwini Ocean Race 2026,https://www.revolutionise.com.au/ksyc/events/336792,2026-06-12,2026-06-14,18:00:00,18:00:00,KSYC ·,,,,,,,,,Event information Registrations for this event are not yet open. Entries open at Tue 07 Apr 2026 00:00 . &nbsp; &nbsp; Partners,admin@ksyc.co.za,,,revolutionise,336792,False
"2026 SA Sailing NR (Limpopo, Mpumalanga, Northwest) AGM",https://www.sailing.org.za/events/344365,2026-06-14,2026-06-14,14:00:00,14:00:00,Boskop Dam R501 Buffelsvlei,,Boskop Dam R501 Buffelsvlei,Boskop Dam R501 Buffelsvlei,Boskop Dam R501 Buffelsvlei,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344365,,,False
2026 SA Sailing Gauteng AGM,https://www.sailing.org.za/events/344366,2026-06-17,2026-06-17,18:30:00,18:30:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,344366,,,False
2026 SA Sailing KZN AGM,https://www.sailing.org.za/events/297525,2026-06-29,2026-06-29,18:00:00,18:00:00,Teams,,Teams,Teams,Teams,,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <l",info@sailing.org.za,,297525,,,False
2026 Flying 15 Nationals,https://www.sailing.org.za/events/344425,2026-07-18,2026-07-19,09:00:00,16:00:00,"Yacht Mole Durban, Harbour, Durban, 4001",,Yacht Mole Durban,"Yacht Mole Durban, Harbour, Durban, 4001","Yacht Mole Durban, Harbour, Durban, 4001",,,,,Flying 15 National Championship,info@sailing.org.za,,344425,,,False
PYC Jonsson Cup,https://www.sailing.org.za/events/344426,2026-08-15,2026-08-16,09:00:00,16:00:00,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,,This event has no description.,info@sailing.org.za,,344426,,,False
SA Sailing National AGM,https://www.sailing.org.za/events/343790,2026-08-27,2026-08-27,18:00:00,18:00:00,Teams,,Teams,Teams,Teams,,,,,SA Sailing National AGM,info@sailing.org.za,,343790,,,False
2026 Gauteng dinghy provincials championships,https://www.stilbaaiyachtclub.co.za/events/342377,2026-09-05,2026-09-06,09:00:00,16:00:00,Stilbaai Yacht Club,,Stilbaai Yacht Club,Stilbaai Yacht Club,Stilbaai Yacht Club,,,,,This event has no description.,info@stilbaaiyachtclub.co.za,,,www_stilbaaiyachtclub_co_za,342377,False
2026 Bart&#039;s Bash,https://www.sailing.org.za/events/344435,2026-09-06,2026-09-06,10:00:00,10:00:00,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,,"Event information &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za <a class=""c",info@sailing.org.za,,344435,,,False
505 Nationals,https://www.sailing.org.za/events/344427,2026-09-24,2026-09-27,09:00:00,16:00:00,Aeolians Sailing Club,,Aeolians Sailing Club,Aeolians Sailing Club,Aeolians Sailing Club,,,,,This event has no description.,info@sailing.org.za,,344427,,,False
2026 DF 95 Global Championship,https://www.sailing.org.za/events/337481,2026-10-17,2026-10-23,09:00:00,09:00:00,Theewater Sports Club,,Theewater Sports Club,Theewater Sports Club,Theewater Sports Club,,,,,This event has no description.,info@sailing.org.za,,337481,,,False
2026 USSA Sailing Championships,https://www.sailing.org.za/events/344430,2026-12-09,2026-12-15,09:00:00,09:00:00,Midmar Dam Howick 3290,,Midmar Dam Howick 3290,Midmar Dam Howick 3290,Midmar Dam Howick 3290,,,,,"Event information USSA Sailing 09-15 Decemeber 2026 &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 info@sailing.org.za",info@sailing.org.za,,344430,,,False
2026 SA Sailing Youth National Championship,https://www.sailing.org.za/events/324956,2026-12-16,2026-12-21,08:00:00,21:00:00,Lake Deneys Yacht Club Organising Authority : Lake Deneys Yacht Club in conjunction with SA Sailing. S,,Lake Deneys Yacht Club Organising Authority : Lake Deneys Yacht Club in conjunction with SA Sailing. S,Lake Deneys Yacht Club Organising Authority : Lake Deneys Yacht Club in conjunction with SA Sailing. S,,,,,,"Event information Registration for this event closes at Tue 01 Dec 2026 12:00. 2026 SA Sailing Youth National Championship Dates : 16 to 21 December 2025 Venue : Lake Deneys Yacht Club Organising Authority : Lake Deneys Yacht Club in conjunction with SA Sailing. &nbsp; Scroll down below to the files for download section on this page for the full Notice of Race and event information. &nbsp; TO ENTER: Pay your entry fee (see amount below) to Lake Deneys Yacht Club (EFT details below). Use YN26_Initial.Surname as reference. Save your Proof of Payment (PoP). Click on the Register button to the left. Follow the prompts to register, give your payment reference number and finally upload your PoP. Repeat this process for each sailor in your family. Entry fees : Standard entry fees (if you Enter before midnight on 14 November 2026): Single handed : R800.00 Double-handed: R1200.00 Late entry fees (if you Enter between 15 November and midnight on",youth.nationals2026@gmail.com.,,324956,,,False
29er Nationals,https://www.sailing.org.za/events/297902,2027-04-25,2027-04-27,09:00:00,09:00:00,TBC,,TBC,TBC,TBC,,,,,This event has no description.,info@sailing.org.za,,297902,,,False
TuziTekwini Ocean Race 2027,https://www.revolutionise.com.au/ksyc/events/337130,2027-06-11,2027-06-13,18:00:00,18:00:00,KSYC ·,,,,,,,,,Event information Registrations for this event are not yet open. Entries open at Mon 01 Mar 2027 00:00 . &nbsp; &nbsp; Partners,admin@ksyc.co.za,,,revolutionise,337130,False
2025 Tour de Vlei,https://www.revolutionise.com.au/vogelvleiyc/events/283726,,,,,"vogelvlei yacht club,",,vogelvlei yacht club,"vogelvlei yacht club,","vogelvlei yacht club,",https://cdn.revolutionise.com.au/cups/vogelvleiyc/files/5zvryijo6vjmdpjv.pdf,https://cdn.revolutionise.com.au/cups/vogelvleiyc/files/bk2bopbpur0aubys.pdf,,https://cdn.revolutionise.com.au/cups/vogelvleiyc/files/svxpgrf6fkfbjp6z.pdf | https://cdn.revolutionise.com.au/cups/sas/files/6lucnj3xzliwihqg.pdf,"Our bar, ""The Goose"" is open - Friday, Saturday and Sunday",secretary@vyc.co.za,,,revolutionise,283726,True
MSC Week 2025,https://www.sailing.org.za/events/281416,,,,,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,https://cdn.revolutionise.com.au/events/nxqca9zf5cjfytef.pdf,"Event information Registrations for this event are closed. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; MSC Week 2025 Done!&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; MSC Week 2025 Results &nbsp; &nbsp; &nbsp; &nbsp; Files for download Results_Day5_Redress MSC Week 2025 NOR - 7-11 July 25 MSC Week 2025 SI - 7-11 July 25 <a class=""py-2 d-block"" tar",info@sailing.org.za,,281416,,,True
2022 SA SAILING YOUTH NATIONAL CHAMPIONSHIP,https://www.stilbaaiyachtclub.co.za/events/140079,,,,,Stilbaai Yacht Club,,Stilbaai Yacht Club,Stilbaai Yacht Club,Stilbaai Yacht Club,,,,,"Event information Late registrations for this event are closed. &nbsp; SA SAILING 2022 YOUTH NATIONAL CHAMPIONSHIP DONT FORGET TO USE YOUR DISCOUNT CODE WHEN REGISTERING TO QUALIFY FOR THE R300 DISCOUNT SPONSORED BY SA SAILING&nbsp; ELIGIBILITY AND ENTRY The regatta is open to all dinghies 4.6m and under, Entries in a class which does not meet the requirements in point 10 below will be transferred to the &ldquo;O Class&rdquo;. <span lang",info@stilbaaiyachtclub.co.za,,,www_stilbaaiyachtclub_co_za,140079,True
Stilbaai Yacht Club - 2022 S A Sailing Youth Nationals,https://www.sailing.org.za/events/156449,,,,,Dates: 16th December 2022 to 21st December 2022,,,,,,,,,This event is hosted by Stilbaai Yacht Club.,info@sailing.org.za,,156449,,,True
SA Sailing Instructor Course - ITSA2204-D,https://www.sailing.org.za/events/132105,,,,,"Sailing Academy, theewaterskloof dam",,Sailing Academy,"Sailing Academy, theewaterskloof dam","Sailing Academy, theewaterskloof dam",,,,,"Details SA Sailing Instructor Course - ITSA2204-D 4 day Learn to Sailing Instructor Training for Dinghy/Multihull endorsement Sailing Academy, Sailing Academy, theewaterskloof dam South African Sailing - Instructors Course - Dinghy &amp; Multihull Course information Registrations for this course are closed. Course Outcome The",info@sailing.org.za,,132105,,,True
RNYC Memorial Regatta,https://www.sailing.org.za/events/133643,,,,,"Yacht Mole Durban, Harbour, Durban, 4001",,Yacht Mole Durban,"Yacht Mole Durban, Harbour, Durban, 4001","Yacht Mole Durban, Harbour, Durban, 4001",,,,,"Event information This event has passed. &nbsp; &nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 <i class=""fal fa-envelope",info@sailing.org.za,,133643,,,True
PYC Bar Anniversary Mug,https://www.sailing.org.za/events/129343,,,,,"3 Maritime Pl, Harbour, Durban, 4001",,3 Maritime Pl,"3 Maritime Pl, Harbour, Durban, 4001","3 Maritime Pl, Harbour, Durban, 4001",,,,,This event has no description.,info@sailing.org.za,,129343,,,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121058,,,,,11th January 2022 to 14th January 2022,,,,,,,,,This event is hosted by Midlands Sailing School.,info@sailing.org.za,,121058,,,True
Learn to Sail Camp,https://www.revolutionise.com.au/midlandsss/events/115850,,,,,Midland Sail School HMYC,,Midland Sail School HMYC,Midland Sail School HMYC,Midland Sail School HMYC,,,,,The learn to sail camp is designed for youngsters between the ages of 8 and 13 who would like to learn to sail how to sail a boat.&nbsp; The course will consist of four modules spread over a four day period:,,,,revolutionise,115850,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121056,,,,,4th January 2022 to 7th January 2022,,,,,,,,,This event is hosted by Midlands Sailing School.,info@sailing.org.za,,121056,,,True
Learn to Sail Camp,https://www.revolutionise.com.au/midlandsss/events/85658,,,,,Midland Sail School HMYC,,Midland Sail School HMYC,Midland Sail School HMYC,Midland Sail School HMYC,,,,,The learn to sail camp is designed for youngsters between the ages of 8 and 13 who would like to learn to sail how to sail a boat.&nbsp; The course will consist of four modules spread over a four day period:,,,,revolutionise,85658,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121055,,,,,14th December 2021 to 17th December 2021,,,,,,,,,This event is hosted by Midlands Sailing School.,info@sailing.org.za,,121055,,,True
Learn to Sail Camp,https://www.revolutionise.com.au/midlandsss/events/85657,,,,,Midland Sail School HMYC,,Midland Sail School HMYC,Midland Sail School HMYC,Midland Sail School HMYC,,,,,The learn to sail camp is designed for youngsters between the ages of 8 and 13 who would like to learn to sail how to sail a boat.&nbsp; The course will consist of four modules spread over a four day period:,,,,revolutionise,85657,True
Midlands Sailing School - Learn to Sail Camp,https://www.sailing.org.za/events/121057,,,,,5th October to 8th October,,,,,,,,,This event is hosted by Midlands Sailing School.,info@sailing.org.za,,121057,,,True
SA Sailing Instructor Course - ITSA2110-D,https://www.sailing.org.za/events/111547,,,,,"Sailing Academy, theewaterskloof dam",,Sailing Academy,"Sailing Academy, theewaterskloof dam","Sailing Academy, theewaterskloof dam",,,,,"Details SA Sailing Instructor Course - ITSA2110-D 4 day Learn to Sailing Instructor Training for Dinghy/Multihull endorsement Sailing Academy, Sailing Academy, theewaterskloof dam South African Sailing - Instructors Course - Dinghy &amp; Multihull Course information Registrations for this course are closed. Course Outcome The",info@sailing.org.za,,111547,,,True
Redhouse Yacht Club - 2020 Finn &amp; Laser National Championships,https://www.sailing.org.za/events/61447,,,,,Event postponed. New dates to be advised,,,,,,,,,This event is hosted by Redhouse Yacht Club.,info@sailing.org.za,,61447,,,True
Hermanus Yacht Club - SA Sailing WC Dinghy Championships 2020,https://www.sailing.org.za/events/62062,,,,,Kleinrivier Lagoon Hermanus  Western Cape,,Kleinrivier Lagoon Hermanus Western Cape,Kleinrivier Lagoon Hermanus  Western Cape,Kleinrivier Lagoon Hermanus  Western Cape,,,,,This event is hosted by Hermanus Yacht Club.,info@sailing.org.za,,62062,,,True
RS Tera Worlds,https://www.sailing.org.za/events/48495,,,,,"Pine Lake Marina Resort, N2 Swartvlei, Sedgefield, 6573",,Pine Lake Marina Resort,"Pine Lake Marina Resort, N2 Swartvlei, Sedgefield, 6573","Pine Lake Marina Resort, N2 Swartvlei, Sedgefield, 6573",,,,,"Event information This event has passed. RS Tera Worlds&nbsp; &copy; 2026 South African Sailing 9 Serrurier Street, Monte Vista, 7460 <i class=""fal fa-envelope",info@sailing.org.za,,48495,,,True
Class Association Affiliation 2019-2020,https://www.sailing.org.za/events/44691,,,,,"9 Serrurier Street, Monte Vista, 7460",,9 Serrurier Street,"9 Serrurier Street, Monte Vista, 7460","9 Serrurier Street, Monte Vista, 7460",,,,,Class Associations seeking to affiliate with SA Sailing for the 2019-2020&nbsp;financial year must meet the following minimum requirements:,info@sailing.org.za,,44691,,,True
Hobie Tiger National Championship,https://www.sailing.org.za/events/44245,,,,,Langebaan  7357,,Langebaan 7357,Langebaan  7357,Langebaan  7357,,,,,Hobie Toger Nationals,info@sailing.org.za,,44245,,,True
Admirals Regatta,https://www.sailing.org.za/events/61052,,,,,Harbour Rd Hout Bay Harbour  Cape Town,,Harbour Rd Hout Bay Harbour Cape Town,Harbour Rd Hout Bay Harbour  Cape Town,Harbour Rd Hout Bay Harbour  Cape Town,,,,,All class keelboat regatta,info@sailing.org.za,,61052,,,True
